"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"ADA_RNA","ADA","ADGRE1","ADAM15","ADAM28","ADA","ADA","ADA","ADAM28","ADA","ADAM15","AIF1","ADAM17"
"ADAM17_RNA","ADAM17","AHR","ADAM17","AHR","ADAM15","ADAM15","AIF1","ADGRE1","ADAM17","ADGRG3","ARL4C","ADGRG3"
"ADAM28_PolyA_1","ADGRE1","AIF1","ADGRG3","AIF1","ADGRE1","ADAM17","AIM2","ADGRG3","AHR","AHR","BTG1","ANXA5"
"AHR_PolyA_1","ADGRG3","AIM2","AHR","AQP9","AHR","ADAM28","ARL4C","AIF1","ANXA5","AIF1","CASP5","ARL4C"
"AIF1_RNA","AHR","ARL4C","AIM2","ARL4C","AQP9","AQP9","B3GAT1","ANXA5","BAX","APOBEC3G","CBLB","ATF6B"
"AIM2_RNA","AIF1","AURKB","AQP9","ATF6B","ARL4C","ARL4C","BACH2","APOBEC3G","BCL2A1","AQP9","CCR5","AURKB"
"APOBEC3G_RNA","AIM2","AXL","ARL4C","BACH2","AURKB","BACH2","BCL6","AURKB","BCL6","ARL4C","CCR7","B3GAT1"
"AQP9_RNA","AQP9","BACH2","B3GAT1","BATF","AXL","BATF","BIN2","B3GAT1","CAPG","AURKB","CD2","BACH2"
"ARL4C_RNA","ARL4C","BATF","BACH2","BCL11B","BACH2","BCL11B","BIRC3","BACH2","CCL3","B3GAT1","CD2","BATF"
"AURKB_RNA","AURKB","BCL11B","BCL11B","BCL2","BCL2","BCL2","BTG1","BIRC5","CCL3L3","BATF","CD3D","BCL11B"
"BATF_RNA","BCL11B","BCL2A1","BCL2","BCL2A1","BCL2A1","BCL2A1","C10orf54","BTG1","CCL4","BAX","CD3E","BCL2"
"BCL11B_RNA","BCL2","BCL6","BCL2A1","BCL6","BCL6","BCL6","CAPG","BTLA","CCL5","BCL2","CD5","BIRC5"
"BCL2_RNA","BCL2A1","BIRC5","BCL6","BIRC3","BLNK","BIN2","CBLB","CAPG","CCND2","BCL2A1","CD52","BTG1"
"BCL2A1_RNA","BCL6","BLNK","BIRC3","BPI","BTG1","BIRC3","CCL3","CCL20","CCR6","BCL6","CD63","CAPG"
"BCL6_RNA","BIRC3","BTG1","BPI","BTG1","C10orf54","BLK","CCL4","CCL3","CCR6","BIRC3","CD7","CBLB"
"BIRC3_RNA","BLNK","BTLA","BTG1","C1QA","C1QA","BTG1","CCR7","CCL3L3","CCR7","BIRC5","CD83","CCL3"
"BLNK_RNA","BPI","C10orf54","C1QA","CBLB","C1QB","CAPG","CCR9","CCL4","CD14","BTG1","CXCL2","CCL3L3"
"BTLA_PolyA_1","BTG1","C1QA","C1QB","CCL20","CAPG","CCL20","CD1C","CCL4L2","CD1C","CAPG","CXCL8","CCL4"
"CBLB_PolyA_1","C1QA","C1QB","CAPG","CCL3","CCL3","CCL22","CD24","CCL5","CD22","CBLB","CXCR3","CCL4L2"
"CCL20_RNA","C1QB","CAPG","CCL2","CCL3L3","CCL3L3","CCL3","CD27","CCR1","CD24","CCL3","CXCR4","CCL5"
"CCL3_RNA","CAPG","CCL22","CCL20","CCL4","CCL4","CCL3L3","CD28","CCR10","CD244","CCL3L3","DOCK8","CCR5"
"CCL3L3_RNA","CBLB","CCL3","CCL3","CCL4L2","CCL4L2","CCL4","CD38","CCR2","CD274","CCL4","DUSP1","CCR7"
"CCL4_RNA","CCL13","CCL3L3","CCL3L3","CCL5","CCL5","CCL5","CD3D","CCR3","CD34","CCL4L2","DUSP2","CD160"
"CCL4L2_RNA","CCL20","CCL4","CCL4","CCND2","CCND2","CCR7","CD4","CCR5","CD38","CCL5","EGR1","CD2"
"CCL5_RNA","CCL3","CCL4L2","CCL4L2","CCR1","CCR2","CCR9","CD5","CCR6","CD4","CCND2","F13A1","CD2"
"CCND2_RNA","CCL3L3","CCL5","CCL5","CCR2","CCR6","CD1A","CD6","CCR6","CD5","CCR1","FCER1A","CD2"
"CCR1_RNA","CCL4","CCND2","CCND2","CCR7","CCR6","CD1C","CD68","CCR7","CD6","CCR2","FCER1G","CD2"
"CCR2_RNA","CCL4L2","CCR7","CCR1","CD14","CCR7","CD2","CD69","CD14","CD63","CCR5","FOS","CD27"
"CCR7_RNA","CCL5","CD14","CCR10","CD160","CD14","CD2","CD7","CD160","CD69","CCR6","FOS","CD28"
"CCR9_RNA","CCND2","CD163","CCR2","CD163","CD163","CD200","CD70","CD2","CD7","CCR6","FOSB","CD300A"
