"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA","IGLC3_RNA"
"CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA"
"IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA"
"S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA"
"LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA"
"IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA"
"FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA"
"CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA"
"IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA","IGHM_membrane_RNA"
"IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA"
"IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA"
"GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA","GNLY_RNA"
"IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA"
"CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA"
"S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA","S100A12_RNA"
"IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA"
"SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1","SERPINA1_PolyA_1"
"NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA","NKG7_RNA"
"CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA","CD14_RNA"
"HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA","HLA-DRA_RNA"
"JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA","JCHAIN_RNA"
"IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA","IGHG4_secreted_RNA"
"CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA"
"FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA","FCER1A_RNA"
"CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA"
"CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA","CD79A_RNA"
"CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA"
"VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1","VCAN_PolyA_1"
"CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA","CD68_RNA"
"CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA","CCL5_RNA"
