"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA","IGKC_RNA"
"IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA","IGHM_secreted_RNA"
"IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA","IGHG2_secreted_RNA"
"IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA","IGHG1_secreted_RNA"
"CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA","CXCL8_RNA"
"IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA","IL1B_RNA"
"LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA","LYZ_RNA"
"CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA","CXCL2_RNA"
"IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA","IGHA1_secreted_RNA"
"S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA","S100A9_RNA"
"CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA","CCL3L3_RNA"
"CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA","CCL3_RNA"
"FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA","FCN1_RNA"
"CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA","CCL4_RNA"
"CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA","CXCL3_RNA"
"CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA","CCL4L2_RNA"
