"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"IGLC3_RNA","CCL4","S100A9","CXCL8","CXCL8","CXCL8","IGHM_membrane","IGKC","GNLY","IGKC","CCL4","PTGDS","CCL5"
"IGHA1_secreted_RNA","CXCL3","FCN1","IL1B","CXCL2","FCN1","IGHM_secreted","IGHM_membrane","CD8A","IGLC3","CCL5","RGS1","IL32"
"IGKC_RNA","CCL4L2","CXCL8","CXCL2","S100A9","LYZ","IGKC","IGHM_secreted","GZMH","IGHM_membrane","CCL3","DUSP1","PTGDS"
"CXCL8_RNA","CCL3L3","RGS1","HLA-DPA1","IL1B","CXCR4","IGLC3","FOS","KLRB1","EGR1","IL32","FOS","FOS"
"IGHG2_secreted_RNA","CCL20","CD1C","S100A12","S100A12","IL1B","FOS","ZFP36","TRDC","TRBC2","XCL2","TCL1A","CD52"
"IGHM_secreted_RNA","S100A12","LYZ","RGS1","TRBC2","C1QA","IGHD_membrane","IGHD_membrane","DUSP2","RGS1","SELL","CXCR4","ZFP36"
"IGHG1_secreted_RNA","HLA-DPA1","IRF8","HLA-DRA","RGS1","HLA-DQB1","IL4R","IGHG2_secreted","GZMK","CXCR4","DUSP2","IRF4","DUSP1"
"NKG7_RNA","CXCL2","FCER1A","S100A9","HLA-DRA","IFITM3","IGHA1_secreted","IL4R","RGS1","IGHM_secreted","CD52","IGLC3","GZMH"
"IL1B_RNA","TNF","IL1B","CD52","HLA-DPA1","CCL3","ZFP36","IGHG1_secreted","LGALS1","CCL5","RGS1","JUN","KLRB1"
"JCHAIN_RNA","CXCL1","VCAN","HLA-DPB1","CCL5","HLA-DRA","RGS1","CXCR4","CCL4","FCER1A","CXCR4","CD52","CCL4"
"GNLY_RNA","RGS1","CLEC10A","IER3","CCL4","CCL3L3","IGHG2_secreted","IGHA1_secreted","FOS","IL32","FOSB","LGALS1","CCL3"
"ZFP36_RNA","IL6","HLA-DQA1","CCL3L3","CCL3","C1QB","CXCR4","RGS1","ZNF683","KLRB1","GZMH","FOSB","CD3E"
"LYZ_RNA","CCL3","DUSP2","CCL3","IFITM3","FCGR3A","IL6","JUNB","FCGR3A","IL6","GZMK","JUNB","CXCR4"
"CXCL2_RNA","IL1RN","IER3","HLA-DQB1","CXCL3","S100A9","IGHG1_secreted","KLF2","FOSB","DUSP2","GZMB","TGFBI","FCER1G"
"ITGB2_RNA","S100A9","CCL3L3","JUN","LYZ","TRBC2","KLF2","KLF2","GZMB","GAPDH","GNLY","CD63","TRDC"
"KLRB1_RNA","HLA-DPB1","SERPINA1","CD74","IER3","RGS1","KLF2","IL6","TARP_refseq","YBX3","FCGR3A","XBP1","LGALS1"
"CST7_RNA","EGR1","CCL3","VCAN","IL32","NAMPT","EGR1","CD69","JUNB","CD34","IFNG","S100A10","RGS1"
"CCL3_RNA","HLA-DRA","CD83","EGR1","F13A1","HLA-DPB1","JUNB","FOSB","SELL","GZMK","PTGDS","CD83","FOSB"
"IL32_RNA","IER3","IGKC","CXCL3","HLA-DPB1","CD63","FOSB","TCL1A","CD74","CD63","ITGAX","FCER1A","IL2RB"
"IL2RB_RNA","IFITM3","TRBC2","LYZ","TRAC","KLF2","TCL1A","EGR1","TNF","CPA3","CD69","MZB1","IFNG"
"HLA-DRA_RNA","CXCR4","CD14","CCL4","CCL3L3","VMO1","CD83","CD83","CD8B","KLF2","JUNB","HLA-DQB1","IFITM3"
"CCL4_RNA","DUSP2","IFITM3","CXCR4","CD8A","FOSB","DUSP2","JCHAIN","IL7R","GNLY","KLF2","TRBC2","GZMB"
"CXCL3_RNA","CD52","IGLC3","DUSP2","HLA-DQB1","TNF","CD69","YBX3","IFNG","HOPX","KLRB1","CXCR3","KLRC1"
"FCGR3A_RNA","FCGR3A","CD68","IFITM3","KLRB1","LGALS1","CD1C","CD1C","CD69","IL1B","CD8A","EGR1","DUSP2"
"CCL5_RNA","VCAN","HLA-DQB1","CCL4L2","FCGR3A","IL32","JCHAIN","SELL","PCNA","CD83","CD74","LYN","HOPX"
"GZMA_RNA","CD14","TRAC","DUSP6","EGR1","DUSP2","YBX3","DUSP2","KLRF1","IL4R","LGALS1","CD68","ZNF683"
"GZMH_RNA","JUN","LGALS1","ARL4C","CD8B","JUNB","DUSP1","S100A10","KLRK1","NKG7","CCL3L3","KLF2","SELL"
"FCN1_RNA","LYZ","CXCL2","VNN2","CLU","HLA-DMA","LGALS1","MYC","PTGDS","CD79A","CD3E","GZMB","KLRC2"
"S100A9_RNA","HLA-DQB1","IL32","SOCS3","CCL4L2","TRAC","HOPX","ID3","TRAC","IGHD_membrane","TNF","ITGB2","CD8A"
"CTSW_RNA","DUSP6","KLF2","SELL","CXCR4","CXCL2","S100A10","FCER2","CCL3","IGHA1_secreted","CD7","ZFP36","CD74"
